STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N,Min Fecal Coliform,Max Fecal Coliform,Min Total Coliform,Max Total Coliform,Year
3625,HEBBAL LAKE,LAKE,KARNATAKA,27,30,3.5,10.2,6.8,7.8,552,1400,3,11,0.85,8.81,1700,700000,10900,1410000,2017
3627,JAKKUR LAKE,LAKE,KARNATAKA,28,32,2.2,11.3,7,9.4,539,1832,4,24,0.32,11.6,1700,490000,7900,5420000,2017
3644,MULBHAGAL LAKE,LAKE,KARNATAKA,23,35,2.5,6.4,7,8.9,224,3020,3,37.5,0.38,6.8,110,79000,1200,130000,2017
3645,DEVARAYASAMUDRA LAKE,LAKE,KARNATAKA,23,35,1.1,6.3,6.6,9.4,185,1832,2,26,0.8,4.55,220,14000,3480,542000,2017
3646,NARASAPURA LAKE,LAKE,KARNATAKA,24,25,6,7.5,6.6,8.1,206,922,2,5,0.45,1.5,790,3300,3480,17200,2017
3647,HULEDANAHALLI LAKE,LAKE,KARNATAKA,24,25,6.4,6.6,6.8,7,155,155,2,4,2,4.1,490,4900,3480,54200,2017
3649,BUGUDANAHALLI LAKE,LAKE,KARNATAKA,24,31,5.4,7.7,6.8,8,121,276,3,3,0.18,1.99,170,7900,1090,34800,2017
3559,HULLIGE TANK,TANK,KARNATAKA,23,31,6.4,8,7.1,8.1,255,760,,,0,0.19,240,1800,900,3200,2017
3560,MAVENAKERE,TANK,KARNATAKA,26,32,5.8,8.6,8.4,9.5,1257,3020,,,0,0.39,1000,9000,3200,16000,2017
3561,HUNDIKERE (KOPPAL),TANK,KARNATAKA,23,31,6,8.2,7.1,8.4,298,891,,,0,0.19,240,2000,900,6400,2017
3565,PILIKULA TANK,TANK,KARNATAKA,28,32,6,7,6.7,7.6,133,290,1,3,0.18,2.3,2,350,5,1600,2017
3588,KARANJIKERE,TANK,KARNATAKA,22,31,5.2,7,7.1,8.6,417,959,3.6,8.4,0.08,3.8,700,1700,4000,6300,2017
3589,MADIWALA  TANK,TANK,KARNATAKA,27,30,3.4,7.3,7,8.4,446,1236,2.5,15,0.8,10.2,1400,490000,13000,1300000,2017
